UF;MUNICIPIO;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PR;BOA ESPERANCA;1587;0;225;56;520;45;0;1;12;732;223;21;0;94;96;0;1;0;1;3;29
PR;BOA ESPERANCA DO IGUACU;940;0;87;20;212;37;0;0;14;487;60;17;0;16;23;0;0;0;0;0;7
PR;BOA VENTURA DE SAO ROQUE;1850;0;276;36;571;84;1;0;27;824;34;54;0;68;68;1;0;0;1;0;19
PR;BOA VISTA DA APARECIDA;2777;0;241;17;507;110;0;1;19;1086;320;34;0;102;20;0;0;0;0;0;27
PR;BOCAIUVA DO SUL;4761;0;421;89;712;219;0;1;26;1447;133;40;0;182;118;0;2;0;1;1;46
PR;BOM JESUS DO SUL;1208;0;57;19;219;31;0;0;11;597;39;15;0;13;17;0;0;0;0;0;9
PR;BOM SUCESSO;2137;0;159;31;360;96;0;1;10;597;80;68;0;48;44;0;0;0;0;0;13
PR;BOM SUCESSO DO SUL;1050;0;157;39;406;53;0;0;11;357;53;17;0;40;67;0;1;0;0;0;47
PR;BORRAZOPOLIS;3204;0;382;70;833;98;0;1;6;1107;152;26;0;42;108;0;0;0;0;4;28
PR;BRAGANEY;1703;0;212;24;490;73;0;0;8;943;81;30;0;24;28;0;0;0;0;0;21
PR;BRASILANDIA DO SUL;1103;0;104;31;265;41;0;1;6;540;124;14;0;47;42;0;0;0;1;0;6
PR;CAFEARA;961;0;58;8;162;29;0;0;9;310;53;21;0;61;8;0;0;0;0;2;5
PR;CAFELANDIA;7379;0;809;394;1625;346;0;5;83;2057;831;175;0;221;520;0;4;0;6;8;120
PR;CAFEZAL DO SUL;1543;0;124;16;300;40;0;1;7;572;119;37;0;58;18;0;0;0;0;0;11
PR;CALIFORNIA;3632;0;333;83;782;152;0;6;16;1249;188;32;0;92;105;0;0;0;0;3;62
PR;CAMBARA;9303;0;892;203;1643;407;0;15;62;3613;1422;116;0;304;234;0;0;0;8;15;110
PR;CAMBE;40701;0;2326;1008;5945;2040;0;268;304;13531;4401;170;0;1385;1324;21;6;1;8;46;456
PR;CAMBIRA;3331;0;337;52;793;157;0;2;8;1116;218;34;0;125;64;0;0;0;1;1;35
PR;CAMPINA DA LAGOA;5448;0;562;147;1286;211;0;6;29;1987;454;64;0;97;208;2;3;0;3;5;87
PR;CAMPINA DO SIMAO;1111;0;166;29;320;49;0;0;9;324;10;45;0;8;33;0;0;0;1;0;6
PR;CAMPINA GRANDE DO SUL;19016;0;1004;328;2273;930;0;25;92;3701;491;99;0;636;270;1;8;0;6;5;205
PR;CAMPO BONITO;1470;0;152;29;334;58;0;0;15;404;18;28;0;18;47;0;1;0;0;0;7
PR;CAMPO DO TENENTE;2700;0;200;41;365;102;0;2;13;573;103;57;0;101;45;0;1;0;2;0;14
PR;CAMPO LARGO;54192;0;2799;1524;7820;3106;0;69;346;13460;1916;564;0;1430;1584;1;38;0;13;12;856
PR;CAMPO MAGRO;10007;0;683;79;1448;502;0;4;77;2929;310;50;0;285;89;0;3;0;5;1;119
PR;CAMPO MOURAO;41563;0;2865;1312;7235;2127;0;249;140;12853;4656;641;0;1341;2064;3;16;1;18;36;740
PR;CANDIDO DE ABREU;4208;0;377;39;1107;146;0;2;18;2337;220;70;0;91;54;1;1;0;1;2;32
PR;CANDOI;5414;0;535;114;1192;139;0;3;27;1205;118;122;0;148;138;0;2;0;0;4;43
PR;CANTAGALO;3811;0;328;77;868;152;0;0;15;788;90;74;0;88;85;1;3;0;2;1;30
PR;CAPANEMA;8033;0;615;132;1431;433;0;7;28;2619;510;88;0;233;182;0;7;0;6;1;106
PR;CAPITAO LEONIDAS MARQUES;6522;0;708;163;1343;294;0;0;44;1920;808;89;0;212;266;0;1;0;0;0;102
PR;CARAMBEI;8813;0;881;415;1881;565;0;4;100;1687;219;105;0;393;591;0;6;0;2;8;151
PR;CARLOPOLIS;5241;0;393;39;1242;246;0;7;39;2128;538;108;0;248;43;1;1;0;0;11;63
PR;CASCAVEL;152230;0;9061;4308;24080;10193;3;184;603;36689;9796;1210;3;5750;6042;18;107;0;88;36;3884
PR;CASTRO;27424;0;2406;890;5861;1731;1;8;308;6910;662;458;0;859;1203;3;5;0;23;25;487
PR;CATANDUVAS;3258;0;318;32;749;171;0;3;19;995;80;61;1;72;44;0;0;0;0;1;35
PR;CENTENARIO DO SUL;3931;0;202;58;580;140;0;9;31;1361;304;97;0;188;102;1;0;0;0;8;29
PR;CERRO AZUL;3614;0;658;18;1027;221;0;0;34;2591;683;82;0;52;20;0;2;0;0;8;26
PR;CEU AZUL;4533;0;421;401;1012;238;0;5;24;1164;394;67;0;135;474;1;4;0;0;4;64
PR;CHOPINZINHO;8572;0;769;285;1965;429;0;0;54;1852;539;112;0;238;460;10;2;0;0;3;179
PR;CIANORTE;31489;0;1799;597;5774;1630;2;78;115;12634;8363;281;0;1658;852;4;6;2;23;18;513
