UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
MG;MUTUM;QUADRICICLO;0
MG;MUZAMBINHO;QUADRICICLO;0
MG;NACIP RAYDAN;QUADRICICLO;0
MG;NANUQUE;QUADRICICLO;0
MG;NAQUE;QUADRICICLO;0
MG;NATALANDIA;QUADRICICLO;0
MG;NATERCIA;QUADRICICLO;0
MG;NAZARENO;QUADRICICLO;0
MG;NEPOMUCENO;QUADRICICLO;0
MG;NINHEIRA;QUADRICICLO;0
MG;NOVA BELEM;QUADRICICLO;0
MG;NOVA ERA;QUADRICICLO;0
MG;NOVA MODICA;QUADRICICLO;0
MG;NOVA PONTE;QUADRICICLO;0
MG;NOVA PORTEIRINHA;QUADRICICLO;0
MG;NOVA RESENDE;QUADRICICLO;0
MG;NOVA SERRANA;QUADRICICLO;0
MG;NOVA UNIAO;QUADRICICLO;0
MG;NOVO CRUZEIRO;QUADRICICLO;0
MG;NOVO ORIENTE DE MINAS;QUADRICICLO;0
MG;NOVORIZONTE;QUADRICICLO;0
MG;OLARIA;QUADRICICLO;0
MG;OLHOS-D'AGUA;QUADRICICLO;0
MG;OLIMPIO NORONHA;QUADRICICLO;0
MG;OLIVEIRA;QUADRICICLO;0
MG;OLIVEIRA FORTES;QUADRICICLO;0
MG;ONCA DE PITANGUI;QUADRICICLO;0
MG;ORATORIOS;QUADRICICLO;0
MG;ORIZANIA;QUADRICICLO;0
MG;OURO BRANCO;QUADRICICLO;0
MG;OURO FINO;QUADRICICLO;0
MG;OURO PRETO;QUADRICICLO;0
MG;OURO VERDE DE MINAS;QUADRICICLO;0
MG;PADRE CARVALHO;QUADRICICLO;0
MG;PADRE PARAISO;QUADRICICLO;0
MG;PAI PEDRO;QUADRICICLO;0
MG;PAINEIRAS;QUADRICICLO;0
MG;PAINS;QUADRICICLO;0
MG;PAIVA;QUADRICICLO;0
MG;PALMA;QUADRICICLO;0
MG;PALMOPOLIS;QUADRICICLO;0
MG;PAPAGAIOS;QUADRICICLO;0
MG;PARA DE MINAS;QUADRICICLO;0
MG;PARACATU;QUADRICICLO;0
MG;PARAGUACU;QUADRICICLO;0
MG;PARAISOPOLIS;QUADRICICLO;0
MG;PARAOPEBA;QUADRICICLO;0
MG;PASSA QUATRO;QUADRICICLO;0
MG;PASSA TEMPO;QUADRICICLO;0
MG;PASSA VINTE;QUADRICICLO;0
MG;PASSABEM;QUADRICICLO;0
MG;PASSOS;QUADRICICLO;0
MG;PATIS;QUADRICICLO;0
MG;PATOS DE MINAS;QUADRICICLO;0
MG;PATROCINIO;QUADRICICLO;0
MG;PATROCINIO DO MURIAE;QUADRICICLO;0
MG;PAULA CANDIDO;QUADRICICLO;0
MG;PAULISTAS;QUADRICICLO;0
MG;PAVAO;QUADRICICLO;0
MG;PECANHA;QUADRICICLO;0
MG;PEDRA AZUL;QUADRICICLO;0
MG;PEDRA BONITA;QUADRICICLO;0
MG;PEDRA DO ANTA;QUADRICICLO;0
MG;PEDRA DO INDAIA;QUADRICICLO;0
MG;PEDRA DOURADA;QUADRICICLO;0
MG;PEDRALVA;QUADRICICLO;0
MG;PEDRAS DE MARIA DA CRUZ;QUADRICICLO;0
MG;PEDRINOPOLIS;QUADRICICLO;0
MG;PEDRO LEOPOLDO;QUADRICICLO;0
MG;PEDRO TEIXEIRA;QUADRICICLO;0
MG;PEQUERI;QUADRICICLO;0
MG;PEQUI;QUADRICICLO;0
MG;PERDIGAO;QUADRICICLO;0
MG;PERDIZES;QUADRICICLO;0
MG;PERDOES;QUADRICICLO;0
MG;PERIQUITO;QUADRICICLO;0
MG;PESCADOR;QUADRICICLO;0
MG;PIAU;QUADRICICLO;0
MG;PIEDADE DE CARATINGA;QUADRICICLO;0
MG;PIEDADE DE PONTE NOVA;QUADRICICLO;0
MG;PIEDADE DO RIO GRANDE;QUADRICICLO;0
MG;PIEDADE DOS GERAIS;QUADRICICLO;0
MG;PIMENTA;QUADRICICLO;0
MG;PINGO D'AGUA;QUADRICICLO;0
MG;PINTOPOLIS;QUADRICICLO;0
MG;PIRACEMA;QUADRICICLO;0
